time,ghi
2019-01-01 00:00:00,0.0
2019-01-01 01:00:00,0.0
2019-01-01 02:00:00,195.28285217285156
2019-01-01 03:00:00,260.9014129638672
2019-01-01 04:00:00,820.1038513183594
2019-01-01 05:00:00,784.66015625
2019-01-01 06:00:00,1014.1025085449219
2019-01-01 07:00:00,989.2544860839844
2019-01-01 08:00:00,887.29296875
2019-01-01 09:00:00,711.7103271484375
2019-01-01 10:00:00,484.3087921142578
2019-01-01 11:00:00,225.64849090576172
2019-01-01 12:00:00,22.252832412719727
2019-01-01 13:00:00,0.0
2019-01-01 14:00:00,0.0
2019-01-01 15:00:00,0.0
2019-01-01 16:00:00,0.0
2019-01-01 17:00:00,0.0
2019-01-01 18:00:00,0.0
2019-01-01 19:00:00,0.0
2019-01-01 20:00:00,0.0
2019-01-01 21:00:00,0.0
2019-01-01 22:00:00,0.0
2019-01-01 23:00:00,0.0
