datetime,w_ghr,nsrdb_clearsky_ghi,nsrdb_clearsky_dni,nsrdb_clearsky_dhi,nsrdb_zenith_angle,nsrdb_temperature,nsrdb_relative_humidity,nsrdb_dew_point,nsrdb_surface_pressure,nsrdb_wind_speed,nsrdb_wind_direction,nsrdb_cloud_type
2019-01-01 00:00:00,0,0,0,0,166.1,22.8,99.68,22.700000000000003,1006,1.2000000000000002,26,3
2019-01-01 00:15:00,0,0,0,0,165.14,22.700000000000003,100.0,22.700000000000003,1005,1.2000000000000002,23,1
2019-01-01 00:30:00,0,0,0,0,163.44,22.6,100.0,22.6,1005,1.2000000000000002,21,3
2019-01-01 00:45:00,0,0,0,0,161.20000000000002,22.5,100.0,22.5,1005,1.1,18,3
2019-01-01 01:00:00,0,0,0,0,158.59,22.5,100.0,22.5,1005,1.1,16,4
2019-01-01 01:15:00,0,0,0,0,155.74,22.4,100.0,22.4,1005,1.1,13,1
2019-01-01 01:30:00,0,0,0,0,152.71,22.3,100.0,22.3,1004,1.1,11,1
2019-01-01 01:45:00,0,0,0,0,149.56,22.3,100.0,22.3,1004,1.2000000000000002,8,3
2019-01-01 02:00:00,0,0,0,0,146.33,22.200000000000003,100.0,22.200000000000003,1004,1.2000000000000002,6,3
2019-01-01 02:15:00,0,0,0,0,143.04,22.200000000000003,100.0,22.200000000000003,1004,1.2000000000000002,94,3
2019-01-01 02:30:00,0,0,0,0,139.70000000000002,22.1,100.0,22.1,1004,1.2000000000000002,182,1
2019-01-01 02:45:00,0,0,0,0,136.33,22.0,100.0,22.0,1004,1.2000000000000002,270,1
2019-01-01 03:00:00,0,0,0,0,132.93,22.0,100.0,22.0,1004,1.2000000000000002,358,3
2019-01-01 03:15:00,0,0,0,0,129.52,21.9,100.0,21.9,1004,1.2000000000000002,357,3
2019-01-01 03:30:00,0,0,0,0,126.09,21.9,100.0,21.9,1004,1.2000000000000002,356,1
2019-01-01 03:45:00,0,0,0,0,122.65,21.8,100.0,21.8,1004,1.3,355,1
2019-01-01 04:00:00,0,0,0,0,119.2,21.8,100.0,21.8,1004,1.3,353,1
2019-01-01 04:15:00,0,0,0,0,115.75,21.8,100.0,21.8,1004,1.3,353,0
2019-01-01 04:30:00,0,0,0,0,112.31,21.8,100.0,21.8,1004,1.3,353,0
2019-01-01 04:45:00,0,0,0,0,108.86,21.8,100.0,21.8,1004,1.3,353,0
2019-01-01 05:00:00,0,0,0,0,105.44,19.200000000000003,94.14,18.2,1010,1.9,360,3
2019-01-01 05:15:00,0,0,0,0,102.0,19.3,93.56,18.2,1010,2.1,359,3
2019-01-01 05:30:00,0,0,0,0,98.57,19.5,92.41,18.2,1010,2.2,358,3
2019-01-01 05:45:00,0,0,0,0,95.15,19.6,91.23,18.1,1011,2.4000000000000004,357,3
2019-01-01 06:00:00,0,0,0,0,91.74,19.700000000000003,90.67,18.1,1011,2.5,356,3
2019-01-01 06:15:00,10,10,20,10,88.04,20.3,87.37,18.1,1011,2.8000000000000003,270,0
2019-01-01 06:30:00,42,42,87,34,84.81,21.0,83.7,18.1,1011,3.0,184,0
2019-01-01 06:45:00,88,88,182,61,81.5,21.6,79.65,17.900000000000002,1011,3.3000000000000003,98,1
2019-01-01 07:00:00,48,138,263,85,78.19,22.200000000000003,76.87,17.900000000000002,1012,3.5,12,3
2019-01-01 07:15:00,68,193,335,105,74.9,22.8,74.13,18.0,1012,3.7,16,3
2019-01-01 07:30:00,90,247,398,122,71.63,23.5,71.07000000000001,18.0,1012,3.8,21,3
2019-01-01 07:45:00,306,306,470,133,68.39,24.200000000000003,65.83,17.400000000000002,1012,4.0,25,1
2019-01-01 08:00:00,362,362,517,146,65.2,24.8,63.52,17.400000000000002,1012,4.2,30,0
2019-01-01 08:15:00,418,418,557,157,62.05,25.4,61.3,17.400000000000002,1012,4.2,31,0
2019-01-01 08:30:00,472,472,592,167,58.96,25.9,59.46,17.400000000000002,1011,4.2,31,0
2019-01-01 08:45:00,528,528,643,168,55.94,26.4,55.14,16.7,1011,4.1000000000000005,32,0
2019-01-01 09:00:00,578,578,669,175,52.99,26.9,53.54,16.7,1011,4.1000000000000005,33,0
2019-01-01 09:15:00,625,625,691,182,50.14,27.4,52.0,16.7,1011,4.1000000000000005,33,1
2019-01-01 09:30:00,443,668,710,187,47.4,27.8,50.8,16.7,1011,4.0,34,2
