datetime,zenith_angle,azimuth_angle,clearsky_ghi,clearsky_dni,clearsky_dhi
2017-01-01 00:00:00,165.246017934846,199.23813481313766,0.0,0.0,0.0
2017-01-01 00:15:00,166.0513436477692,185.6685949073093,0.0,0.0,0.0
2017-01-01 00:30:00,165.95584823581777,171.37429367107597,0.0,0.0,0.0
2017-01-01 00:45:00,164.97671716684235,158.15652001301805,0.0,0.0,0.0
2017-01-01 01:00:00,163.26864404061814,147.16823112355507,0.0,0.0,0.0
2017-01-01 01:15:00,161.0279707458064,138.58639338624823,0.0,0.0,0.0
2017-01-01 01:30:00,158.4205924693401,132.05006812142034,0.0,0.0,0.0
2017-01-01 01:45:00,155.56435686075392,127.08785873777998,0.0,0.0,0.0
2017-01-01 02:00:00,152.53764052815967,123.29618849370604,0.0,0.0,0.0
2017-01-01 02:15:00,149.39189788066977,120.37190571087922,0.0,0.0,0.0
2017-01-01 02:30:00,146.16130493520657,118.09715371281357,0.0,0.0,0.0
2017-01-01 02:45:00,142.86907080504284,116.31688503028408,0.0,0.0,0.0
2017-01-01 03:00:00,139.53137612361473,114.9202018942392,0.0,0.0,0.0
2017-01-01 03:15:00,136.15981560787674,113.8269152106244,0.0,0.0,0.0
2017-01-01 03:30:00,132.76292958726208,112.97830543845765,0.0,0.0,0.0
2017-01-01 03:45:00,129.3471849914998,112.33085079712578,0.0,0.0,0.0
2017-01-01 04:00:00,125.91761768820771,111.85195949272156,0.0,0.0,0.0
2017-01-01 04:15:00,122.4782620534294,111.51704012055279,0.0,0.0,0.0
2017-01-01 04:30:00,119.0324475341549,111.30746872201115,0.0,0.0,0.0
2017-01-01 04:45:00,115.58300829535546,111.20916215948012,0.0,0.0,0.0
2017-01-01 05:00:00,112.13243445422454,111.21156753563184,0.0,0.0,0.0
2017-01-01 05:15:00,108.68298694319718,111.30694202683213,0.0,0.0,0.0
2017-01-01 05:30:00,105.23678738052175,111.48983909428216,0.0,0.0,0.0
2017-01-01 05:45:00,101.79589026246755,111.75674485883656,0.0,0.0,0.0
2017-01-01 06:00:00,98.36234644147967,112.10582647540514,0.0,0.0,0.0
2017-01-01 06:15:00,94.93826109471082,112.53676672690938,0.0,0.0,0.0
2017-01-01 06:30:00,91.52584846656268,113.05066784508415,0.0,0.0,0.0
