datetime,zenith_angle,azimuth_angle,clearsky_ghi,clearsky_dni,clearsky_dhi
2019-01-01 00:00:00,165.10852921009314,200.1998387482067,0.0,0.0,0.0
2019-01-01 00:15:00,165.97995800720088,186.79690600544697,0.0,0.0,0.0
2019-01-01 00:30:00,165.95902594071197,172.5358680422164,0.0,0.0,0.0
2019-01-01 00:45:00,165.04947498934683,159.20960118715288,0.0,0.0,0.0
2019-01-01 01:00:00,163.3969654268858,148.04332406843434,0.0,0.0,0.0
2019-01-01 01:15:00,161.1968286969111,139.28371070104538,0.0,0.0,0.0
2019-01-01 01:30:00,158.61806183763838,132.5995000267941,0.0,0.0,0.0
2019-01-01 01:45:00,155.78205022400448,127.52271740042454,0.0,0.0,0.0
2019-01-01 02:00:00,152.76988450594837,123.6441502242206,0.0,0.0,0.0
2019-01-01 02:15:00,149.63485913855936,120.6538681397123,0.0,0.0,0.0
2019-01-01 02:30:00,146.41235260308906,118.32841190606297,0.0,0.0,0.0
2019-01-01 02:45:00,143.12635855167204,116.50857859273611,0.0,0.0,0.0
2019-01-01 03:00:00,139.7935762241737,115.0804953789081,0.0,0.0,0.0
2019-01-01 03:15:00,136.42594961186728,113.9618576806123,0.0,0.0,0.0
2019-01-01 03:30:00,133.0322590080534,113.0924327230133,0.0,0.0,0.0
2019-01-01 03:45:00,129.61913936242595,112.42760327326289,0.0,0.0,0.0
2019-01-01 04:00:00,126.19174617485939,111.9339726038329,0.0,0.0,0.0
2019-01-01 04:15:00,122.75420016433497,111.58634799158796,0.0,0.0,0.0
2019-01-01 04:30:00,119.30989367696776,111.36564827426719,0.0,0.0,0.0
2019-01-01 04:45:00,115.86170685831293,111.25743609233064,0.0,0.0,0.0
2019-01-01 05:00:00,112.41216326999364,111.250878484542,0.0,0.0,0.0
2019-01-01 05:15:00,108.96354771983988,111.33800619750468,0.0,0.0,0.0
2019-01-01 05:30:00,105.5179981386721,111.51318499717365,0.0,0.0,0.0
2019-01-01 05:45:00,102.07757911372308,111.77274097565231,0.0,0.0,0.0
2019-01-01 06:00:00,98.6443462174398,112.11470047945772,0.0,0.0,0.0
2019-01-01 06:15:00,95.22040445844881,112.53861803362696,0.0,0.0,0.0
2019-01-01 06:30:00,91.80796320498483,113.04547467053732,0.0,0.0,0.0
2019-01-01 06:45:00,88.1011299882619,113.6376347479329,2.1519752117256954,8.387646345197952,1.8740466312915998
2019-01-01 07:00:00,84.86686672645644,114.31885413330906,24.949753299824163,96.8425321081907,16.285225098196797
2019-01-01 07:15:00,81.55938691772405,115.09433620343327,69.0732845487486,233.11233300151818,34.856072647636736
2019-01-01 07:30:00,78.24705518726661,115.9708337854288,123.6142339118591,357.28360736600246,50.83839615171421
2019-01-01 07:45:00,74.94981199825615,116.95679756639515,182.61690982037646,457.6282289261549,63.786855417280364
2019-01-01 08:00:00,71.67757617478706,118.06257288543526,243.17807294550366,536.9766696857575,74.3719347735937
2019-01-01 08:15:00,68.4377598854795,119.30064581505735,303.71903172370094,600.0022099671653,83.21118863556248
2019-01-01 08:30:00,65.23742142898006,120.68593904844425,363.2643712997717,650.6250371419478,90.74415451406833
2019-01-01 08:45:00,62.08414247305083,122.23615474497598,421.1402065869382,691.7733185250212,97.26965332521183
2019-01-01 09:00:00,58.98654614139075,123.9721520453835,476.8382252176981,725.5801735680546,102.99077858920003
2019-01-01 09:15:00,55.95472035006114,125.91833367269862,529.9496884175259,753.6019960172945,108.04719370231504
2019-01-01 09:30:00,53.0006404908244,128.1029910463733,580.1313212640905,776.9861967858403,112.53629197443757
2019-01-01 09:45:00,50.138632752514624,130.55851274325204,627.0867461872341,796.5895202976519,116.52686422385472
2019-01-01 10:00:00,47.385888135758144,133.32129637752882,670.5559913922665,813.0597246685438,120.06801113498545
2019-01-01 10:15:00,44.76301259873363,136.4311071854774,710.3094187097813,826.891978372202,123.195055913837
2019-01-01 10:30:00,42.29456706877032,139.92949556614292,746.1441308763129,838.4681093310255,125.93353954165593
2019-01-01 10:45:00,40.00949309303677,143.85675396160514,777.8818468020575,848.0842227681991,128.30197116282625
2019-01-01 11:00:00,37.94124225099701,148.24682837166603,805.3676688396099,855.9703440748415,130.31375303715026
2019-01-01 11:15:00,36.127337065063145,153.11975799147388,828.4693677872372,862.3045006161276,131.97854342544122
2019-01-01 11:30:00,34.6080172895895,158.471859903344,847.0769945317451,867.2228637359999,133.30322993859136
2019-01-01 11:45:00,33.42366058515646,164.26520134753434,861.1026925779255,870.8270344428053,134.29262532736232
2019-01-01 12:00:00,32.6109203144388,170.4197101284892,870.4806098861343,873.1891955757751,134.94995779586327
2019-01-01 12:15:00,32.198042760514994,176.8125367827904,875.1668713048517,874.3556204522961,135.27720487504791
2019-01-01 12:30:00,32.20046089411064,183.2882493983119,875.1395782468792,874.3488537708987,135.27530131275876
2019-01-01 12:45:00,32.618086340833436,189.67924148471386,870.3988094759585,873.1687531464347,134.94423835911357
2019-01-01 13:00:00,33.435325642998656,195.83035046833572,860.9666231916286,870.792482685879,134.2830632574794
2019-01-01 13:15:00,34.623814843250045,201.61917707283752,846.8870538192649,867.1734563502168,133.28977842223685
2019-01-01 13:30:00,36.146836429490826,206.96614805937796,828.2261157714988,862.2391414967278,131.96113223635848
2019-01-01 13:45:00,37.96399759488827,211.8337715988825,805.071835643873,855.887531637855,130.29228361708897
2019-01-01 14:00:00,40.035080058669365,216.2186949266916,777.5343333988311,847.9819670502856,128.27630875279692
2019-01-01 14:15:00,42.322603901487696,220.1411673130112,745.7460205536771,838.3438182445958,125.9035027647717
2019-01-01 14:30:00,44.793168898767455,223.6352451421214,709.8619956595971,826.7423000934396,123.1604022728078
2019-01-01 14:45:00,47.417886390276756,226.74126154816113,670.0607514576566,812.8803224966241,120.02841524811663
2019-01-01 15:00:00,50.17224430624003,229.50076259337075,626.5454305572433,796.3747611920984,116.48188796393492
2019-01-01 15:15:00,53.03567934656289,231.95348423886958,579.5459684461408,776.7287101458836,112.48534128068678
2019-01-01 15:30:00,55.9910375885959,234.135784233391,529.3226933912351,753.2920307950872,107.98945299575655
2019-01-01 15:45:00,59.02402348759897,236.0800078258001,476.172460709928,725.2046727868367,102.92511407356324
2019-01-01 16:00:00,62.122686374761116,237.8144044467891,420.43922546497157,691.3145665685922,97.1944649017172
2019-01-01 16:15:00,65.27695892885586,239.36333921549294,362.5327346416559,650.0586724453939,90.65714255316283
2019-01-01 16:30:00,68.4782335020323,240.74763826250594,302.9629517834606,599.294439331979,83.10899210637547
2019-01-01 16:45:00,71.71893820827313,241.98497565172738,242.40667768389875,536.0808289306867,74.24958234041435
2019-01-01 17:00:00,74.99201760688484,243.0902512052369,181.84489680213542,456.48270915144,63.63704933294845
2019-01-01 17:15:00,78.2900455553816,244.07593243614275,122.86803269990598,355.82208158684796,50.65130091924058
2019-01-01 17:30:00,81.60304063719775,244.95235009891854,68.40623868588794,231.3360986313058,34.62410593371179
2019-01-01 17:45:00,84.91080370663259,245.72794421915017,24.47653847492979,95.1383543852369,16.037149798596342
2019-01-01 18:00:00,88.14354094185693,246.40946013408234,2.031150148886851,7.906293217211629,1.7750206102516497
2019-01-01 18:15:00,91.85482903360001,247.00209665891688,0.0,0.0,0.0
2019-01-01 18:30:00,95.26822613752806,247.509608016891,0.0,0.0,0.0
2019-01-01 18:45:00,98.69316054795404,247.93435936470297,0.0,0.0,0.0
2019-01-01 19:00:00,102.12742991564207,248.2773348587922,0.0,0.0,0.0
2019-01-01 19:15:00,105.56893757065275,248.5380944520697,0.0,0.0,0.0
2019-01-01 19:30:00,109.01563644321669,248.71467186994755,0.0,0.0,0.0
2019-01-01 19:45:00,112.46547085547193,248.8034023276347,0.0,0.0,0.0
2019-01-01 20:00:00,115.91631386310351,248.79866207914773,0.0,0.0,0.0
2019-01-01 20:15:00,119.36589266418464,248.69249293989304,0.0,0.0,0.0
2019-01-01 20:30:00,122.811697112022,248.4740724185018,0.0,0.0,0.0
2019-01-01 20:45:00,126.25086373293502,248.12897078156357,0.0,0.0,0.0
2019-01-01 21:00:00,129.68001925778415,247.6381079229061,0.0,0.0,0.0
2019-01-01 21:15:00,133.0950650524904,246.97627911129302,0.0,0.0,0.0
2019-01-01 21:30:00,136.49087268332968,246.11005073686502,0.0,0.0,0.0
2019-01-01 21:45:00,139.8608382969311,244.9947235357248,0.0,0.0,0.0
2019-01-01 22:00:00,143.19621658537304,243.5699010453994,0.0,0.0,0.0
2019-01-01 22:15:00,146.48510206196383,241.75296639529404,0.0,0.0,0.0
2019-01-01 22:30:00,149.71083064277778,239.42946496857974,0.0,0.0,0.0
2019-01-01 22:45:00,152.84942615429034,236.43912103833998,0.0,0.0,0.0
2019-01-01 23:00:00,155.8654767775304,232.55651403990538,0.0,0.0,0.0
2019-01-01 23:15:00,158.70552479814876,227.46821019236438,0.0,0.0,0.0
2019-01-01 23:30:00,161.28802431086027,220.75911792141085,0.0,0.0,0.0
2019-01-01 23:45:00,163.4905623298991,211.95292817012674,0.0,0.0,0.0
2019-01-02 00:00:00,165.14227101534271,200.71154627345803,0.0,0.0,0.0
2019-01-02 00:15:00,166.04551232677423,187.28828978968332,0.0,0.0,0.0
2019-01-02 00:30:00,166.05376247803878,172.93764784237374,0.0,0.0,0.0
2019-01-02 00:45:00,165.16551191157575,159.48363399485447,0.0,0.0,0.0
2019-01-02 01:00:00,163.52538285983888,148.198215254589,0.0,0.0,0.0
2019-01-02 01:15:00,161.33094857975018,139.35030074138325,0.0,0.0,0.0
2019-01-02 01:30:00,158.7538827455096,132.60768977735523,0.0,0.0,0.0
2019-01-02 01:45:00,155.91743752848407,127.49410751244466,0.0,0.0,0.0
2019-01-02 02:00:00,152.90377333902,123.59272890831198,0.0,0.0,0.0
2019-01-02 02:15:00,149.76675031371107,120.58835066207922,0.0,0.0,0.0
2019-01-02 02:30:00,146.54203562687297,118.25417713890863,0.0,0.0,0.0
2019-01-02 02:45:00,143.25376649021754,116.42894953077428,0.0,0.0,0.0
2019-01-02 03:00:00,139.91871055085886,114.99752851295557,0.0,0.0,0.0
