datetime,w_ghr,nsrdb_clearsky_ghi,nsrdb_clearsky_dni,nsrdb_clearsky_dhi,nsrdb_zenith_angle,nsrdb_temperature,nsrdb_relative_humidity,nsrdb_dew_point,nsrdb_surface_pressure,nsrdb_wind_speed,nsrdb_wind_direction,nsrdb_cloud_type
2018-01-01 00:00:00,0,0,0,0,166.15,21.0,86.46000000000001,18.7,1009,1.3,42,0
2018-01-01 00:15:00,0,0,0,0,165.23,20.9,86.99,18.7,1009,1.3,41,0
2018-01-01 00:30:00,0,0,0,0,163.56,20.8,87.52,18.7,1009,1.2000000000000002,40,0
2018-01-01 00:45:00,0,0,0,0,161.34,20.700000000000003,86.98,18.5,1009,1.2000000000000002,39,0
2018-01-01 01:00:00,0,0,0,0,158.74,20.5,88.06,18.5,1009,1.2000000000000002,38,0
2018-01-01 01:15:00,0,0,0,0,155.9,20.4,88.60000000000001,18.5,1009,1.2000000000000002,38,0
2018-01-01 01:30:00,0,0,0,0,152.87,20.3,89.15,18.5,1009,1.2000000000000002,37,0
2018-01-01 01:45:00,0,0,0,0,149.73,20.200000000000003,88.60000000000001,18.3,1009,1.1,36,0
2018-01-01 02:00:00,0,0,0,0,146.5,20.1,89.15,18.3,1009,1.1,35,1
2018-01-01 02:15:00,0,0,0,0,143.21,20.0,89.7,18.3,1009,1.1,33,1
2018-01-01 02:30:00,0,0,0,0,139.87,19.9,90.26,18.3,1009,1.1,32,3
2018-01-01 02:45:00,0,0,0,0,136.5,19.8,89.75,18.1,1009,1.0,30,1
2018-01-01 03:00:00,0,0,0,0,133.1,19.6,90.86,18.1,1009,1.0,29,1
2018-01-01 03:15:00,0,0,0,0,129.69,19.6,90.86,18.1,1009,1.0,28,1
2018-01-01 03:30:00,0,0,0,0,126.26,19.5,91.43,18.1,1009,1.0,27,1
2018-01-01 03:45:00,0,0,0,0,122.82,19.4,90.84,17.900000000000002,1009,1.0,27,1
2018-01-01 04:00:00,0,0,0,0,119.38,19.3,91.5,17.900000000000002,1010,1.0,26,1
2018-01-01 04:15:00,0,0,0,0,115.93,19.3,91.5,17.900000000000002,1010,1.0,26,3
2018-01-01 04:30:00,0,0,0,0,112.48,19.3,91.5,17.900000000000002,1010,1.0,26,3
2018-01-01 04:45:00,0,0,0,0,109.03,19.3,91.5,17.900000000000002,1010,1.0,26,3
2018-01-01 05:00:00,0,0,0,0,105.61,20.3,96.05,19.6,1003,0.7000000000000001,343,0
2018-01-01 05:15:00,0,0,0,0,102.17,20.4,95.55,19.700000000000003,1004,0.7000000000000001,342,0
2018-01-01 05:30:00,0,0,0,0,98.74,20.6,94.39,19.700000000000003,1004,0.7000000000000001,342,1
2018-01-01 05:45:00,0,0,0,0,95.32,20.8,94.6,19.9,1004,0.8,342,1
2018-01-01 06:00:00,0,0,0,0,91.91,21.0,93.45,19.9,1004,0.8,342,1
2018-01-01 06:15:00,13,13,33,12,88.2,21.5,90.64,19.9,1004,0.9,343,1
2018-01-01 06:30:00,45,45,130,34,84.97,22.1,87.48,19.9,1005,1.0,344,1
2018-01-01 06:45:00,90,90,230,56,81.67,22.700000000000003,86.94,20.4,1005,1.1,344,0
2018-01-01 07:00:00,141,141,323,76,78.35000000000001,23.3,83.85000000000001,20.4,1005,1.2000000000000002,345,0
2018-01-01 07:15:00,195,195,399,92,75.06,23.9,80.89,20.4,1005,1.1,347,0
2018-01-01 07:30:00,250,250,465,105,71.79,24.6,77.58,20.4,1005,1.1,349,0
2018-01-01 07:45:00,306,306,512,119,68.55,25.200000000000003,77.44,21.0,1006,1.0,351,0
2018-01-01 08:00:00,362,362,558,130,65.35,25.8,74.74,21.0,1006,1.0,353,0
2018-01-01 08:15:00,418,418,598,139,62.2,26.3,72.57000000000001,21.0,1006,0.9,349,0
2018-01-01 08:30:00,471,471,632,147,59.11,26.8,70.47,21.0,1006,0.9,346,0
2018-01-01 08:45:00,520,520,650,158,56.08,27.3,68.45,21.0,1006,0.9,342,0
2018-01-01 09:00:00,569,569,675,164,53.13,27.700000000000003,66.87,21.0,1006,0.8,338,0
2018-01-01 09:15:00,615,615,697,170,50.27,28.1,65.34,21.0,1006,0.8,332,0
2018-01-01 09:30:00,658,658,716,175,47.53,28.4,64.15,21.0,1005,0.7000000000000001,326,0
2018-01-01 09:45:00,696,696,725,183,44.91,28.8,62.34,20.9,1005,0.7000000000000001,320,0
2018-01-01 10:00:00,732,732,739,186,42.45,29.1,61.27,20.9,1005,0.6000000000000001,314,0
2018-01-01 10:15:00,764,764,751,190,40.17,29.4,60.22,20.9,1005,0.6000000000000001,300,0
2018-01-01 10:30:00,790,790,759,193,38.1,29.6,59.54,20.9,1005,0.6000000000000001,286,0
2018-01-01 10:45:00,807,807,737,212,36.29,29.8,58.63,20.8,1004,0.5,272,0
2018-01-01 11:00:00,825,825,744,214,34.78,30.1,57.64,20.8,1004,0.5,257,0
2018-01-01 11:15:00,839,839,749,216,33.6,30.3,56.98,20.8,1004,0.5,250,0
2018-01-01 11:30:00,849,849,752,217,32.78,30.4,56.6,20.8,1003,0.5,243,0
2018-01-01 11:45:00,855,855,749,222,32.37,30.6,56.16,20.9,1003,0.5,236,0
2018-01-01 12:00:00,855,855,749,222,32.37,30.700000000000003,55.84,20.9,1003,0.5,229,0
2018-01-01 12:15:00,850,850,747,222,32.78,30.8,55.47,20.9,1002,0.5,228,0
2018-01-01 12:30:00,841,841,744,221,33.59,30.9,55.15,20.9,1002,0.5,227,1
2018-01-01 12:45:00,752,826,738,220,34.77,30.9,55.16,20.9,1002,0.5,226,7
2018-01-01 13:00:00,808,808,732,218,36.29,31.0,54.84,20.9,1002,0.6000000000000001,224,1
2018-01-01 13:15:00,710,785,724,215,38.09,31.0,54.84,20.9,1002,0.6000000000000001,225,7
2018-01-01 13:30:00,668,757,714,212,40.16,30.9,55.1,20.8,1001,0.6000000000000001,226,7
2018-01-01 13:45:00,724,724,695,211,42.43,30.9,55.120000000000005,20.8,1001,0.7000000000000001,226,1
2018-01-01 14:00:00,688,688,681,206,44.9,30.9,55.120000000000005,20.8,1001,0.7000000000000001,227,0
2018-01-01 14:15:00,649,649,664,201,47.51,30.8,55.43,20.8,1001,0.8,227,0
2018-01-01 14:30:00,604,604,644,193,50.26,30.700000000000003,55.75,20.8,1001,0.8,226,0
2018-01-01 14:45:00,559,559,624,184,53.120000000000005,30.5,56.98,21.0,1001,0.9,226,0
2018-01-01 15:00:00,511,511,598,177,56.07,30.4,57.31,21.0,1001,0.9,226,0
2018-01-01 15:15:00,460,460,568,168,59.1,30.200000000000003,57.97,21.0,1001,0.9,225,0
2018-01-01 15:30:00,407,407,533,158,62.190000000000005,30.0,58.63,21.0,1001,0.9,225,0
2018-01-01 15:45:00,353,353,498,145,65.34,29.700000000000003,62.440000000000005,21.8,1001,0.9,224,0
2018-01-01 16:00:00,298,298,452,133,68.54,29.5,63.16,21.8,1001,0.9,223,0
2018-01-01 16:15:00,242,242,398,118,71.78,28.9,65.38,21.8,1001,0.8,222,0
2018-01-01 16:30:00,187,187,335,101,75.05,28.4,67.29,21.8,1001,0.8,221,0
2018-01-01 16:45:00,134,134,266,81,78.35000000000001,27.8,73.60000000000001,22.700000000000003,1001,0.7000000000000001,220,0
2018-01-01 17:00:00,85,85,185,58,81.66,27.200000000000003,76.3,22.700000000000003,1002,0.7000000000000001,219,0
2018-01-01 17:15:00,41,41,97,33,84.97,26.8,78.10000000000001,22.700000000000003,1002,0.7000000000000001,219,0
2018-01-01 17:30:00,10,10,23,10,88.2,26.5,79.49,22.700000000000003,1002,0.7000000000000001,218,0
2018-01-01 17:45:00,0,0,0,0,91.9,26.1,78.87,22.1,1002,0.7000000000000001,217,0
2018-01-01 18:00:00,0,0,0,0,95.31,25.700000000000003,80.75,22.1,1002,0.7000000000000001,216,0
2018-01-01 18:15:00,0,0,0,0,98.73,25.5,81.71000000000001,22.1,1002,0.8,217,0
2018-01-01 18:30:00,0,0,0,0,102.17,25.3,82.77,22.200000000000003,1003,0.8,218,0
2018-01-01 18:45:00,0,0,0,0,105.61,25.1,82.68,21.9,1003,0.8,219,0
2018-01-01 19:00:00,0,0,0,0,109.06,24.9,83.67,21.9,1003,0.8,220,0
2018-01-01 19:15:00,0,0,0,0,112.51,24.700000000000003,84.67,21.9,1003,0.8,221,0
2018-01-01 19:30:00,0,0,0,0,115.96,24.6,85.17,21.9,1003,0.8,222,0
2018-01-01 19:45:00,0,0,0,0,119.41,24.4,85.66,21.8,1003,0.8,223,0
2018-01-01 20:00:00,0,0,0,0,122.86,24.3,86.26,21.9,1004,0.8,224,0
2018-01-01 20:15:00,0,0,0,0,126.3,24.200000000000003,86.78,21.9,1004,0.8,224,0
2018-01-01 20:30:00,0,0,0,0,129.73,24.1,87.3,21.9,1004,0.8,225,0
2018-01-01 20:45:00,0,0,0,0,133.15,23.9,88.04,21.8,1004,0.8,226,0
2018-01-01 21:00:00,0,0,0,0,136.54,23.8,88.57000000000001,21.8,1004,0.8,227,0
2018-01-01 21:15:00,0,0,0,0,139.92000000000002,23.700000000000003,89.10000000000001,21.8,1004,0.8,228,0
2018-01-01 21:30:00,0,0,0,0,143.26,23.6,89.64,21.8,1004,0.8,229,0
2018-01-01 21:45:00,0,0,0,0,146.56,23.6,89.48,21.8,1004,0.7000000000000001,230,0
2018-01-01 22:00:00,0,0,0,0,149.79,23.5,90.02,21.8,1004,0.7000000000000001,231,0
2018-01-01 22:15:00,0,0,0,0,152.94,23.4,90.57,21.8,1004,0.7000000000000001,233,0
2018-01-01 22:30:00,0,0,0,0,155.97,23.3,91.11,21.8,1004,0.7000000000000001,234,0
2018-01-01 22:45:00,0,0,0,0,158.82,23.3,90.76,21.700000000000003,1004,0.7000000000000001,235,0
2018-01-01 23:00:00,0,0,0,0,161.43,23.200000000000003,91.21,21.700000000000003,1003,0.7000000000000001,237,0
2018-01-01 23:15:00,0,0,0,0,163.65,23.1,91.77,21.700000000000003,1003,0.7000000000000001,239,0
2018-01-01 23:30:00,0,0,0,0,165.33,23.1,91.77,21.700000000000003,1003,0.7000000000000001,240,0
2018-01-01 23:45:00,0,0,0,0,166.25,23.0,91.68,21.6,1003,0.6000000000000001,242,0
2018-01-02 00:00:00,0,0,0,0,166.27,23.0,91.68,21.6,1003,0.6000000000000001,244,0
2018-01-02 00:15:00,0,0,0,0,165.37,22.9,92.24,21.6,1003,0.6000000000000001,247,0
2018-01-02 00:30:00,0,0,0,0,163.72,22.9,92.24,21.6,1003,0.6000000000000001,251,0
2018-01-02 00:45:00,0,0,0,0,161.51,22.8,91.82,21.4,1002,0.6000000000000001,254,0
2018-01-02 01:00:00,0,0,0,0,158.92000000000002,22.8,91.82,21.4,1002,0.6000000000000001,258,0
2018-01-02 01:15:00,0,0,0,0,156.07,22.700000000000003,92.38,21.4,1002,0.6000000000000001,262,0
2018-01-02 01:30:00,0,0,0,0,153.04,22.700000000000003,92.38,21.4,1002,0.6000000000000001,267,0
2018-01-02 01:45:00,0,0,0,0,149.9,22.700000000000003,91.41,21.200000000000003,1002,0.6000000000000001,272,0
2018-01-02 02:00:00,0,0,0,0,146.66,22.6,91.97,21.200000000000003,1002,0.6000000000000001,276,0
2018-01-02 02:15:00,0,0,0,0,143.37,22.6,91.97,21.200000000000003,1002,0.6000000000000001,282,0
2018-01-02 02:30:00,0,0,0,0,140.03,22.5,92.53,21.200000000000003,1002,0.5,288,0
2018-01-02 02:45:00,0,0,0,0,136.66,22.5,91.8,21.1,1002,0.5,294,0
2018-01-02 03:00:00,0,0,0,0,133.26,22.5,91.8,21.1,1002,0.5,300,0
2018-01-02 03:15:00,0,0,0,0,129.84,22.4,92.36,21.1,1002,0.5,304,0
2018-01-02 03:30:00,0,0,0,0,126.41,22.4,92.36,21.1,1002,0.5,309,0
2018-01-02 03:45:00,0,0,0,0,122.97,22.3,92.26,21.0,1002,0.5,313,0
2018-01-02 04:00:00,0,0,0,0,119.52,22.200000000000003,92.91,21.0,1003,0.6000000000000001,318,0
2018-01-02 04:15:00,0,0,0,0,116.07,22.200000000000003,92.91,21.0,1003,0.6000000000000001,318,0
2018-01-02 04:30:00,0,0,0,0,112.62,22.200000000000003,92.91,21.0,1003,0.6000000000000001,318,0
2018-01-02 04:45:00,0,0,0,0,109.16,22.200000000000003,92.91,21.0,1003,0.6000000000000001,318,0
2018-01-02 05:00:00,0,0,0,0,105.72,21.8,94.69,20.9,1003,0.6000000000000001,334,0
2018-01-02 05:15:00,0,0,0,0,102.27,21.9,94.12,20.9,1003,0.6000000000000001,338,0
2018-01-02 05:30:00,0,0,0,0,98.84,21.9,94.21,20.9,1004,0.7000000000000001,341,0
2018-01-02 05:45:00,0,0,0,0,95.41,22.0,94.9,21.1,1004,0.7000000000000001,344,0
2018-01-02 06:00:00,0,0,0,0,92.0,22.1,94.33,21.1,1004,0.7000000000000001,348,0
2018-01-02 06:15:00,7,7,9,7,88.29,22.6,91.51,21.1,1004,0.7000000000000001,350,0
