hour,n_points,mse,rmse,nrmse,mae,mape
8,199,35850.03125,189.3410448106802,51.36974500172315,150.8462677001953,46.71814441680908
9,199,107299.1953125,327.56555880083,59.947399645518615,288.9126281738281,54.35624718666077
10,199,160120.640625,400.1507723658671,60.409806061743645,356.9198303222656,52.65558362007141
11,199,157071.421875,396.32237115131414,56.020925751017295,356.2095947265625,49.48133826255798
12,199,98278.8359375,313.49455487695474,47.34989292591187,269.8376770019531,41.49390459060669
13,199,63182.6015625,251.36149578346323,43.09109369790268,206.7791748046875,42.88293421268463
14,199,40024.41015625,200.06101608321896,40.78788502772214,163.20594787597656,51.45530104637146
15,199,43627.87109375,208.8728586814237,57.42428380185002,170.10382080078125,79.01263236999512
16,199,97511.8671875,312.26890204998,144.16136526006596,280.02813720703125,205.84075450897217
