hour,n_points,mse,rmse,nrmse,mae,mape
8,221,48197.91015625,219.54022446068967,59.98917006194369,180.9285888671875,52.26019024848938
9,221,170321.34375,412.7000651199367,75.80041934275195,374.89605712890625,67.85130500793457
10,221,263412.78125,513.23754855817,77.86539384679017,469.91473388671875,69.15386319160461
11,221,338220.96875,581.5676820027055,82.67740636459106,539.9337768554688,75.21091103553772
12,221,292165.1875,540.5230684253911,81.93598758702166,494.8086853027344,73.10431003570557
13,221,214334.40625,462.962640231369,79.83687243023726,413.71612548828125,69.3702220916748
14,221,129153.125,359.37880432768986,74.1978211690755,311.6260681152344,61.958712339401245
15,221,50170.83203125,223.98846405841977,62.117604241819315,189.34661865234375,56.52966499328613
16,221,12127.6357421875,110.12554536612974,51.90542498710258,87.27193450927734,61.389678716659546
