hour,n_points,mse,rmse,nrmse,mae,mape
8,191,42400.3515625,205.9134564871854,55.92381968187833,166.72264099121094,47.86743521690369
9,191,107898.9296875,328.47972492605993,60.29279902905892,290.94720458984375,53.38559150695801
10,191,173719.140625,416.79628192319564,63.14338985679851,377.5140686035156,55.275529623031616
11,191,192763.515625,439.0484205927633,61.94912907933692,399.4028015136719,54.477131366729736
12,191,139777.1875,373.8678743888006,56.781688350601044,333.0692138671875,50.00457167625427
13,191,86794.9609375,294.60984528270603,50.455507755107874,250.65875244140625,45.70673108100891
14,191,47435.015625,217.79581177102557,44.34000268344376,181.74623107910156,47.481510043144226
15,191,24459.728515625,156.39606297993885,43.06980231040795,122.84270477294922,58.79102945327759
16,191,49396.0625,222.2522497073989,102.71309689008115,193.18287658691406,153.39608192443848
