datetime,w_ghr,nsrdb_clearsky_ghi,nsrdb_clearsky_dni,nsrdb_clearsky_dhi,nsrdb_zenith_angle,nsrdb_temperature,nsrdb_relative_humidity,nsrdb_dew_point,nsrdb_surface_pressure,nsrdb_wind_speed,nsrdb_wind_direction,nsrdb_cloud_type
2019-01-01 00:00:00,0,0,0,0,166.07,22.8,100.0,22.8,1005,1.2000000000000002,26,3
2019-01-01 00:15:00,0,0,0,0,165.07,22.700000000000003,100.0,22.700000000000003,1005,1.2000000000000002,23,3
2019-01-01 00:30:00,0,0,0,0,163.33,22.6,100.0,22.6,1005,1.2000000000000002,21,3
2019-01-01 00:45:00,0,0,0,0,161.07,22.5,100.0,22.5,1004,1.2000000000000002,18,8
2019-01-01 01:00:00,0,0,0,0,158.45000000000002,22.5,100.0,22.5,1004,1.2000000000000002,16,3
2019-01-01 01:15:00,0,0,0,0,155.58,22.4,100.0,22.4,1004,1.2000000000000002,13,3
2019-01-01 01:30:00,0,0,0,0,152.54,22.3,100.0,22.3,1004,1.2000000000000002,11,3
2019-01-01 01:45:00,0,0,0,0,149.39,22.3,100.0,22.3,1004,1.2000000000000002,8,3
2019-01-01 02:00:00,0,0,0,0,146.16,22.200000000000003,100.0,22.200000000000003,1004,1.2000000000000002,6,3
2019-01-01 02:15:00,0,0,0,0,142.86,22.200000000000003,100.0,22.200000000000003,1004,1.3,94,1
2019-01-01 02:30:00,0,0,0,0,139.52,22.1,100.0,22.1,1004,1.3,182,3
2019-01-01 02:45:00,0,0,0,0,136.15,22.1,100.0,22.1,1004,1.3,270,3
2019-01-01 03:00:00,0,0,0,0,132.75,22.0,100.0,22.0,1004,1.3,358,0
2019-01-01 03:15:00,0,0,0,0,129.33,22.0,100.0,22.0,1004,1.3,357,1
2019-01-01 03:30:00,0,0,0,0,125.9,21.9,100.0,21.9,1004,1.3,356,1
2019-01-01 03:45:00,0,0,0,0,122.46,21.9,100.0,21.9,1004,1.4,355,1
2019-01-01 04:00:00,0,0,0,0,119.02,21.8,100.0,21.8,1004,1.4,353,0
2019-01-01 04:15:00,0,0,0,0,115.57,21.8,100.0,21.8,1004,1.4,353,0
2019-01-01 04:30:00,0,0,0,0,112.12,21.8,100.0,21.8,1004,1.4,353,0
2019-01-01 04:45:00,0,0,0,0,108.67,21.8,100.0,21.8,1004,1.4,353,0
2019-01-01 05:00:00,0,0,0,0,105.26,19.200000000000003,96.1,18.6,1010,2.0,360,3
2019-01-01 05:15:00,0,0,0,0,101.82,19.4,94.91,18.6,1010,2.2,359,3
2019-01-01 05:30:00,0,0,0,0,98.38,19.5,94.32,18.6,1010,2.4000000000000004,358,3
2019-01-01 05:45:00,0,0,0,0,94.96,19.700000000000003,92.26,18.4,1010,2.5,357,3
2019-01-01 06:00:00,0,0,0,0,91.55,19.8,91.69,18.4,1010,2.7,356,3
2019-01-01 06:15:00,12,12,24,11,87.88,20.4,88.45,18.4,1011,3.0,270,1
2019-01-01 06:30:00,45,45,96,36,84.63,21.0,85.25,18.4,1011,3.2,184,0
2019-01-01 06:45:00,91,91,193,62,81.32000000000001,21.6,81.08,18.2,1011,3.4000000000000004,98,1
2019-01-01 07:00:00,142,142,275,85,78.01,22.200000000000003,78.17,18.2,1011,3.7,12,1
2019-01-01 07:15:00,197,197,348,105,74.72,22.9,74.93,18.2,1011,3.9,16,1
2019-01-01 07:30:00,252,252,411,121,71.45,23.6,71.84,18.2,1011,4.0,21,1
2019-01-01 07:45:00,310,310,480,132,68.22,24.3,66.9,17.8,1011,4.2,25,1
2019-01-01 08:00:00,367,367,526,145,65.03,24.9,64.55,17.8,1011,4.4,30,0
2019-01-01 08:15:00,422,422,566,155,61.89,25.4,62.67,17.8,1011,4.4,31,0
2019-01-01 08:30:00,476,476,601,165,58.8,25.9,60.84,17.8,1011,4.4,31,0
2019-01-01 08:45:00,531,531,649,166,55.78,26.4,56.61,17.1,1011,4.4,32,0
2019-01-01 09:00:00,581,581,674,173,52.84,26.9,54.97,17.1,1011,4.3,33,0
2019-01-01 09:15:00,627,627,696,180,49.99,27.4,53.39,17.1,1011,4.3,33,1
2019-01-01 09:30:00,457,670,715,185,47.26,27.8,52.11,17.1,1010,4.2,34,2
2019-01-01 09:45:00,481,713,747,182,44.66,28.200000000000003,49.18,16.5,1010,4.2,34,2
2019-01-01 10:00:00,490,749,760,186,42.21,28.6,48.06,16.5,1010,4.2,35,2
2019-01-01 10:15:00,506,781,772,190,39.95,29.0,46.91,16.5,1009,4.1000000000000005,35,2
2019-01-01 10:30:00,445,809,781,192,37.92,29.3,46.11,16.5,1009,4.0,36,2
2019-01-01 10:45:00,545,837,816,178,36.14,29.700000000000003,43.95,16.1,1009,4.0,37,2
2019-01-01 11:00:00,575,855,821,180,34.660000000000004,30.0,43.16,16.1,1008,3.9,38,2
2019-01-01 11:15:00,587,869,826,181,33.51,30.200000000000003,42.67,16.1,1008,3.9,39,2
2019-01-01 11:30:00,879,879,828,182,32.74,30.4,42.18,16.1,1008,3.8,40,0
2019-01-01 11:45:00,884,884,833,181,32.37,30.700000000000003,40.99,15.9,1007,3.8,41,0
2019-01-01 12:00:00,684,883,832,181,32.410000000000004,30.9,40.53,15.9,1007,3.8,43,2
2019-01-01 12:15:00,878,878,831,180,32.87,31.0,40.3,15.9,1007,3.7,44,0
2019-01-01 12:30:00,868,868,828,179,33.72,31.1,40.03,15.9,1006,3.7,45,0
2019-01-01 12:45:00,855,855,830,174,34.93,31.200000000000003,39.84,15.9,1006,3.7,47,0
2019-01-01 13:00:00,835,835,824,173,36.48,31.3,39.61,15.9,1006,3.7,48,0
2019-01-01 13:15:00,456,811,816,170,38.32,31.200000000000003,39.84,15.9,1006,3.7,50,2
2019-01-01 13:30:00,436,784,807,169,40.4,31.200000000000003,39.84,15.9,1006,3.7,51,2
2019-01-01 13:45:00,415,732,713,208,42.7,31.200000000000003,39.6,15.8,1005,3.7,52,2
2019-01-01 14:00:00,390,696,698,203,45.18,31.1,39.82,15.8,1005,3.7,54,2
2019-01-01 14:15:00,344,655,681,198,47.81,30.9,40.28,15.8,1005,3.8,55,3
2019-01-01 14:30:00,316,612,661,192,50.57,30.700000000000003,40.74,15.8,1005,3.8,56,3
2019-01-01 14:45:00,287,564,634,186,53.44,30.5,41.13,15.8,1005,3.8,58,2
2019-01-01 15:00:00,342,514,608,178,56.39,30.4,41.36,15.8,1005,3.9,59,2
2019-01-01 15:15:00,302,462,577,169,59.43,30.0,42.36,15.8,1006,3.8,60,2
2019-01-01 15:30:00,261,408,541,159,62.53,29.6,43.34,15.8,1006,3.8,61,2
2019-01-01 15:45:00,221,352,499,147,65.68,29.200000000000003,45.62,16.3,1006,3.8,63,3
2019-01-01 16:00:00,296,296,451,134,68.88,28.8,46.68,16.3,1006,3.7,64,0
2019-01-01 16:15:00,143,239,395,118,72.13,28.0,48.89,16.3,1006,3.5,66,3
2019-01-01 16:30:00,183,183,330,100,75.4,27.3,50.97,16.3,1007,3.2,67,0
2019-01-01 16:45:00,130,130,258,79,78.7,26.5,58.23,17.6,1007,2.9000000000000004,69,0
2019-01-01 17:00:00,80,80,174,56,82.01,25.8,60.68,17.6,1007,2.7,70,1
2019-01-01 17:15:00,37,37,86,30,85.31,25.4,62.13,17.6,1007,2.7,70,0
2019-01-01 17:30:00,8,8,16,8,88.53,25.1,63.31,17.6,1008,2.8000000000000003,71,0
2019-01-01 17:45:00,0,0,0,0,92.26,24.700000000000003,67.38,18.3,1008,2.9000000000000004,71,0
2019-01-01 18:00:00,0,0,0,0,95.67,24.4,68.59,18.2,1008,3.0,71,0
2019-01-01 18:15:00,0,0,0,0,99.1,24.200000000000003,69.48,18.3,1009,3.0,70,0
2019-01-01 18:30:00,0,0,0,0,102.53,23.9,70.74,18.3,1009,3.0,69,0
2019-01-01 18:45:00,0,0,0,0,105.97,23.700000000000003,73.08,18.6,1009,3.0,68,0
2019-01-01 19:00:00,0,0,0,0,109.42,23.5,73.96000000000001,18.6,1009,3.0,67,0
2019-01-01 19:15:00,0,0,0,0,112.87,23.3,74.85000000000001,18.6,1009,2.9000000000000004,66,0
2019-01-01 19:30:00,0,0,0,0,116.32,23.1,75.76,18.6,1009,2.9000000000000004,65,0
2019-01-01 19:45:00,0,0,0,0,119.77,22.9,77.33,18.7,1009,2.8000000000000003,63,0
2019-01-01 20:00:00,0,0,0,0,123.21,22.6,78.75,18.7,1009,2.8000000000000003,62,0
2019-01-01 20:15:00,0,0,0,0,126.65,22.5,79.22,18.7,1009,2.7,60,0
2019-01-01 20:30:00,0,0,0,0,130.08,22.3,80.19,18.7,1009,2.6,59,0
2019-01-01 20:45:00,0,0,0,0,133.5,22.1,81.61,18.8,1009,2.6,57,0
2019-01-01 21:00:00,0,0,0,0,136.89,21.9,82.61,18.8,1009,2.5,56,0
2019-01-01 21:15:00,0,0,0,0,140.26,21.700000000000003,83.62,18.8,1009,2.4000000000000004,54,0
