datetime,w_ghr,nsrdb_clearsky_ghi,nsrdb_clearsky_dni,nsrdb_clearsky_dhi,nsrdb_zenith_angle,nsrdb_temperature,nsrdb_relative_humidity,nsrdb_dew_point,nsrdb_surface_pressure,nsrdb_wind_speed,nsrdb_wind_direction,nsrdb_cloud_type
2018-01-01 00:00:00,0,0,0,0,166.1,21.0,89.63,19.200000000000003,1008,2.0,34,3
2018-01-01 00:15:00,0,0,0,0,165.1,20.9,90.18,19.200000000000003,1008,1.9,32,1
2018-01-01 00:30:00,0,0,0,0,163.36,20.8,90.74,19.200000000000003,1008,1.9,30,0
2018-01-01 00:45:00,0,0,0,0,161.1,20.6,91.42,19.200000000000003,1008,1.9,28,0
2018-01-01 01:00:00,0,0,0,0,158.48,20.5,91.98,19.200000000000003,1008,1.8,26,0
2018-01-01 01:15:00,0,0,0,0,155.61,20.4,92.55,19.200000000000003,1008,1.8,23,0
2018-01-01 01:30:00,0,0,0,0,152.58,20.3,93.12,19.200000000000003,1008,1.8,21,0
2018-01-01 01:45:00,0,0,0,0,149.42000000000002,20.200000000000003,93.06,19.0,1008,1.8,19,0
2018-01-01 02:00:00,0,0,0,0,146.19,20.1,93.63,19.0,1008,1.8,17,0
2018-01-01 02:15:00,0,0,0,0,142.89,20.0,94.21,19.0,1008,1.8,15,0
2018-01-01 02:30:00,0,0,0,0,139.55,20.0,94.21,19.0,1008,1.8,13,0
2018-01-01 02:45:00,0,0,0,0,136.18,19.9,93.97,18.9,1008,1.8,11,0
2018-01-01 03:00:00,0,0,0,0,132.78,19.8,94.55,18.9,1008,1.8,9,0
2018-01-01 03:15:00,0,0,0,0,129.36,19.700000000000003,95.14,18.9,1008,1.8,7,0
2018-01-01 03:30:00,0,0,0,0,125.93,19.6,95.73,18.9,1008,1.9,6,1
2018-01-01 03:45:00,0,0,0,0,122.49,19.6,94.78,18.7,1009,1.9,4,3
2018-01-01 04:00:00,0,0,0,0,119.05,19.5,95.37,18.7,1009,1.9,3,3
2018-01-01 04:15:00,0,0,0,0,115.6,19.5,95.37,18.7,1009,1.9,3,3
2018-01-01 04:30:00,0,0,0,0,112.15,19.5,95.37,18.7,1009,1.9,3,3
2018-01-01 04:45:00,0,0,0,0,108.7,19.5,95.37,18.7,1009,1.9,3,3
2018-01-01 05:00:00,0,0,0,0,105.28,20.4,100.0,20.4,1002,0.9,339,1
2018-01-01 05:15:00,0,0,0,0,101.84,20.700000000000003,100.0,20.700000000000003,1002,1.0,338,0
2018-01-01 05:30:00,0,0,0,0,98.41,20.9,100.0,20.9,1003,1.1,338,0
2018-01-01 05:45:00,0,0,0,0,94.99,21.200000000000003,98.5,21.0,1003,1.2000000000000002,337,0
2018-01-01 06:00:00,0,0,0,0,91.58,21.4,97.31,21.0,1003,1.3,336,1
2018-01-01 06:15:00,16,16,41,14,87.9,22.0,93.82,21.0,1003,1.4,339,1
2018-01-01 06:30:00,50,50,143,37,84.66,22.6,90.56,21.0,1004,1.6,342,0
2018-01-01 06:45:00,96,96,241,59,81.35000000000001,23.200000000000003,88.03,21.1,1004,1.7000000000000002,345,1
2018-01-01 07:00:00,147,147,332,78,78.04,23.8,84.91,21.1,1004,1.9,348,0
2018-01-01 07:15:00,202,202,410,94,74.74,24.3,82.41,21.1,1004,1.9,265,0
2018-01-01 07:30:00,258,258,474,108,71.48,24.9,79.52,21.1,1004,1.9,181,0
2018-01-01 07:45:00,313,313,519,121,68.24,25.5,77.4,21.3,1005,1.9,97,0
2018-01-01 08:00:00,370,370,565,131,65.05,26.1,74.71000000000001,21.3,1005,1.9,13,0
2018-01-01 08:15:00,425,425,604,141,61.9,26.6,72.54,21.3,1005,1.9,14,0
2018-01-01 08:30:00,478,478,637,148,58.82,27.0,70.86,21.3,1005,1.8,14,0
2018-01-01 08:45:00,529,529,659,158,55.8,27.5,67.98,21.1,1005,1.8,15,0
2018-01-01 09:00:00,577,577,683,164,52.85,28.0,66.04,21.1,1005,1.8,15,0
2018-01-01 09:15:00,623,623,704,170,50.01,28.3,64.9,21.1,1005,1.8,15,0
2018-01-01 09:30:00,665,665,723,175,47.27,28.700000000000003,63.35,21.1,1004,1.7000000000000002,15,0
2018-01-01 09:45:00,703,703,733,182,44.67,29.1,60.870000000000005,20.8,1004,1.7000000000000002,16,0
2018-01-01 10:00:00,739,739,746,186,42.22,29.4,59.83,20.8,1004,1.6,16,0
2018-01-01 10:15:00,770,770,758,189,39.96,29.700000000000003,58.81,20.8,1004,1.5,17,0
2018-01-01 10:30:00,796,796,766,192,37.92,29.9,58.08,20.8,1003,1.4,18,0
2018-01-01 10:45:00,814,814,751,208,36.13,30.200000000000003,56.28,20.5,1003,1.4,19,0
2018-01-01 11:00:00,832,832,757,210,34.65,30.5,55.32,20.5,1003,1.3,20,0
2018-01-01 11:15:00,846,846,761,211,33.5,30.6,54.95,20.5,1002,1.2000000000000002,23,0
2018-01-01 11:30:00,855,855,764,212,32.730000000000004,30.8,54.33,20.5,1002,1.0,26,0
2018-01-01 11:45:00,858,858,760,216,32.35,31.0,53.54,20.5,1002,0.9,28,0
2018-01-01 12:00:00,858,858,760,216,32.39,31.200000000000003,52.94,20.5,1002,0.8,31,0
2018-01-01 12:15:00,852,852,758,216,32.84,31.3,52.58,20.5,1001,0.7000000000000001,39,0
2018-01-01 12:30:00,845,845,755,217,33.69,31.4,52.29,20.5,1001,0.6000000000000001,48,1
2018-01-01 12:45:00,746,830,747,217,34.9,31.5,51.83,20.4,1001,0.5,56,7
2018-01-01 13:00:00,725,810,740,215,36.45,31.5,51.78,20.4,1000,0.4,65,7
2018-01-01 13:15:00,698,787,732,212,38.28,31.6,51.49,20.4,1000,0.4,89,7
2018-01-01 13:30:00,757,757,722,207,40.37,31.6,51.49,20.4,1000,0.4,113,1
2018-01-01 13:45:00,644,725,712,202,42.66,31.6,51.2,20.3,1000,0.4,138,7
2018-01-01 14:00:00,607,689,698,197,45.14,31.6,51.2,20.3,1000,0.4,162,7
2018-01-01 14:15:00,566,650,681,192,47.77,31.5,51.49,20.3,1000,0.6000000000000001,165,7
2018-01-01 14:30:00,525,607,661,186,50.53,31.4,51.78,20.3,1000,0.7000000000000001,169,7
2018-01-01 14:45:00,560,560,637,180,53.4,31.200000000000003,52.7,20.4,999,0.8,172,0
2018-01-01 15:00:00,511,511,611,173,56.36,31.1,53.0,20.4,999,0.9,176,1
2018-01-01 15:15:00,390,460,581,164,59.39,30.9,53.61,20.4,999,1.0,175,7
2018-01-01 15:30:00,341,407,545,155,62.49,30.6,54.59,20.4,1000,1.0,174,7
2018-01-01 15:45:00,291,351,502,144,65.65,30.4,57.2,21.0,1000,1.1,173,7
2018-01-01 16:00:00,173,296,455,132,68.85000000000001,30.1,58.19,21.0,1000,1.1,173,2
2018-01-01 16:15:00,240,240,400,117,72.09,29.5,60.22,21.0,1000,1.1,171,0
2018-01-01 16:30:00,185,185,335,100,75.36,28.9,62.34,21.0,1000,1.0,169,0
2018-01-01 16:45:00,132,132,262,80,78.66,28.200000000000003,72.34,22.8,1000,1.0,168,0
2018-01-01 17:00:00,82,82,178,57,81.98,27.6,74.91,22.700000000000003,1000,0.9,166,0
2018-01-01 17:15:00,39,39,90,32,85.28,27.3,76.23,22.700000000000003,1000,1.0,165,0
2018-01-01 17:30:00,9,9,18,8,88.5,26.9,78.11,22.8,1001,1.1,165,0
2018-01-01 17:45:00,0,0,0,0,92.23,26.6,76.73,22.200000000000003,1001,1.1,164,0
2018-01-01 18:00:00,0,0,0,0,95.64,26.200000000000003,78.56,22.200000000000003,1001,1.2000000000000002,163,0
2018-01-01 18:15:00,0,0,0,0,99.06,26.0,79.49,22.200000000000003,1001,1.3,163,0
2018-01-01 18:30:00,0,0,0,0,102.5,25.9,79.96000000000001,22.200000000000003,1001,1.3,163,0
2018-01-01 18:45:00,0,0,0,0,105.94,25.700000000000003,80.2,22.0,1002,1.4,162,0
2018-01-01 19:00:00,0,0,0,0,109.39,25.5,81.15,22.0,1002,1.4,162,0
2018-01-01 19:15:00,0,0,0,0,112.84,25.4,81.63,22.0,1002,1.5,162,0
2018-01-01 19:30:00,0,0,0,0,116.29,25.200000000000003,82.60000000000001,22.0,1002,1.5,162,0
2018-01-01 19:45:00,0,0,0,0,119.74,25.1,83.99,22.200000000000003,1002,1.5,162,0
